#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Sep 07 17:28:44 EDT 2018,0,0,Assignment1Suite, , ,ClearTest0- ClearTest1- EverythingTest0- GetTest0- GetTest1- InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest0- SizeTest1- SizeTest2- SizeTest3- , ,
1,Fri Sep 07 17:31:55 EDT 2018,0,0,Assignment1Suite, , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
2,Sun Sep 09 13:57:47 EDT 2018,0,0,Assignment1Suite, , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
3,Sun Sep 09 13:59:19 EDT 2018,0,0,Assignment1Suite, , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
4,Sun Sep 09 14:03:17 EDT 2018,82,82,Assignment1Suite,ClearTest0+ ClearTest1+ GetTest0+ GetTest1+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ RemoveTest2+ RemoveTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,EverythingTest0 RemoveTest0 RemoveTest1 , ,
5,Sun Sep 09 14:04:02 EDT 2018,82,0,Assignment1Suite,ClearTest0 ClearTest1 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest0 RemoveTest0 RemoveTest1 , ,
6,Sun Sep 09 14:06:18 EDT 2018,100,18,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0+ GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
7,Sun Sep 09 14:11:22 EDT 2018,82,-18,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest3 , ,GetTest0- SizeTest1- SizeTest2- , ,
8,Sun Sep 09 14:13:48 EDT 2018,5,-77,Assignment1Suite,ClearTest1 , ,ClearTest0- EverythingTest0- GetTest0 GetTest1- InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest0- SizeTest1 SizeTest2 SizeTest3- , ,
9,Sun Sep 09 14:14:19 EDT 2018,23,18,Assignment1Suite,ClearTest1 GetTest1+ InsertTest3+ SizeTest0+ , ,ClearTest0 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 SizeTest3 , ,
10,Sun Sep 09 14:25:50 EDT 2018,94,71,Assignment1Suite,ClearTest0+ ClearTest1 GetTest0+ GetTest1 InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest1+ SizeTest2+ SizeTest3+ , ,EverythingTest0 , ,
11,Sun Sep 09 14:32:35 EDT 2018,100,6,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0+ GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
